EICno,mzmed,rtmed,ACN_80_A1,ACN_80_A2,ACN_80_B1,ACN_80_B2,ACN_80_C1,ACN_80_C2,MeOH_80_A1,MeOH_80_A2,MeOH_80_B1,MeOH_80_B2,MeOH_80_C1,MeOH_80_C2
22231,831.8559429,858.362,942.8901367,737.8208618,828.5576782,1264.384766,619.541687,747.2228394,346.8375549,501.6017151,410.3813171,387.25,516.9619141,509.4862061
13347,532.8914343,858.369,553.3137817,448.4820557,575.7452393,516.3969727,649.2455444,1685.686279,496.1489258,626.3994751,457.0125122,278.8870544,495.1287231,233.2819824
22291,834.3547208,858.37,460.0362854,535,426.8163757,501.8719788,327.8411255,462.6984558,325.0124512,504.4876099,302.7337036,218.5208282,427.4806519,307.6759338
12915,522.1913936,858.38,1780.93042,2024.971191,2187.891113,3180.372803,2378.102051,3741.881104,1109.827759,1558.519897,1227.081177,944.3373413,1676.663574,1028.3302
22219,831.3564393,858.3805,636.2683105,560.333313,515.3453369,995.0322266,506.3618164,516.0303345,469.2497253,450.2139893,431.6914368,375.1307983,521.0606079,494.2325134
22245,832.356317,858.3865,944.777832,1105.60144,827.288147,1066.51062,814.2433472,996.5900269,537.543335,770.0737915,633.6956177,449.0189514,795.3835449,331.1269836
11694,492.1623977,858.397,2771.000732,2661.554688,4307.472656,4807.995605,3504.286621,8367.342773,1811.314209,1406.958984,1256.005981,1435.266846,2193.211182,1460.67749
11058,475.1462636,858.405,1669.071289,1656.984253,2560.0271,2822.006592,2491.216797,5063.504395,819.7241211,1310.594482,1023.160522,748.4102173,1618.805298,817.5689697
16390,624.115401,858.408,1648.864136,1574.104614,1903.430786,2477.001221,2044.415039,3066.242432,1046.035767,1165.406006,925.4697876,1378.349731,1465.304932,1001.168335
12962,523.1896036,858.413,1160.036743,917.0094604,997.7307739,1065.462646,1207.341187,1711.770752,612.9779663,699.1151123,695.1074219,591.6800537,1564.08252,496.0796509
